request_time,wait_time,pick_index,drop_index,order_distance,order_fare,detour_ratio
68538,360,3221,3269,2486.0,9.26,0.75
68538,360,2926,2510,1968.0,7.33,0.5
68539,480,3327,2462,3265.0,12.16,0.75
68539,300,3056,1826,2594.0,9.66,1.0
68539,480,1953,3441,2710.0,10.09,0.25
68539,240,2550,1033,5152.0,19.18,0.25
68540,180,1725,976,2529.0,9.42,0.5
68540,240,1715,1454,1840.0,6.85,0.25
68540,300,821,1683,1336.0,4.97,1.0
68541,360,2462,1287,6737.0,25.08,0.5
68541,240,4559,6,2319.0,8.63,0.75
68541,420,1711,2054,3586.0,13.35,0.5
68542,300,2395,251,2213.0,8.24,0.25
68543,180,4212,837,3524.0,13.12,1.0
68543,300,3674,822,2410.0,8.97,0.75
68543,180,4104,1723,3056.0,11.38,0.5
68543,480,1479,808,7166.0,26.68,0.5
68544,180,825,3573,3419.0,12.73,0.25
68544,420,3572,405,2432.0,9.06,1.0
68545,360,3404,117,4985.0,18.56,0.5
68545,180,2311,1963,2625.0,9.77,0.75
68545,360,1722,2686,5546.0,20.65,1.0
68546,300,4324,35,1964.0,7.31,0.25
68547,180,1627,3931,3486.0,12.98,0.75
68548,360,3501,3766,2142.0,7.98,0.25
68548,420,2097,3441,7141.0,26.59,0.75
68549,300,3212,1264,2329.0,8.67,0.5
68549,480,2691,2473,3349.0,12.47,0.5
68550,300,2373,4106,4371.0,16.27,0.5
68550,360,4256,3812,3529.0,13.14,0.5
68551,360,2557,114,2887.0,10.75,0.25
68551,420,1439,3503,1048.0,3.9,1.0
68552,480,2556,1365,2887.0,10.75,0.25
68553,240,1756,2877,2410.0,8.97,1.0
68553,360,2370,4537,2783.0,10.36,0.75
68553,360,876,368,6816.0,25.38,0.25
68553,180,3842,1025,2979.0,11.09,1.0
68553,240,3382,181,2742.0,10.21,0.25
68554,180,1721,3121,3257.0,12.13,0.5
68554,240,3027,1612,4330.0,16.12,0.75
68555,240,1244,477,2386.0,8.88,0.5
68555,180,2560,4465,1447.0,5.39,0.75
68555,300,2132,131,2718.0,10.12,0.25
68555,480,2092,492,2407.0,8.96,0.25
68555,480,1451,736,1318.0,4.91,0.25
68555,180,3264,2560,2569.0,9.57,0.25
68556,360,9,1684,2409.0,8.97,1.0
68556,300,3284,2991,1593.0,5.93,1.0
68557,420,2363,389,1414.0,5.26,0.5
68557,360,714,3438,4040.0,15.04,1.0
68558,360,498,3044,7389.0,27.51,0.5
68559,420,1389,1211,1073.0,4.0,0.25
68559,240,1248,2621,3247.0,12.09,0.25
68560,180,2279,3248,5658.0,21.07,0.25
68560,180,2537,2258,2233.0,8.31,0.5
68561,360,2527,2621,2479.0,9.23,1.0
68561,240,3720,2317,4445.0,16.55,0.5
68561,480,613,2127,3978.0,14.81,1.0
68562,420,1135,527,4422.0,16.46,0.5
68562,420,4342,2568,2132.0,7.94,0.75
68562,180,3241,1194,2595.0,9.66,0.5
68562,300,2121,883,4716.0,17.56,1.0
68562,420,570,3062,3248.0,12.09,0.75
68563,360,0,2320,3915.0,14.58,1.0
68563,360,4346,510,2264.0,8.43,0.25
68565,240,825,516,6079.0,22.63,0.75
68566,240,1601,944,4095.0,15.25,0.75
68566,240,3618,123,2830.0,10.54,0.5
68566,360,2951,4362,1438.0,5.35,0.25
68566,480,4441,1824,9209.0,34.29,0.25
68567,240,1011,1625,2313.0,8.61,1.0
68567,300,3153,333,4264.0,15.88,0.5
68568,420,3825,1702,2540.0,9.46,1.0
68569,480,1211,3261,4856.0,18.08,1.0
68569,300,2140,1302,2025.0,7.54,1.0
